iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
0,2500,6664,25,4983,0,5008
1,2500,6664,22,4984,0,5006
2,2500,6664,20,4984,0,5004
3,2500,6664,15,4988,0,5003
4,2500,6664,19,4987,0,5006
5,2500,6664,20,4984,0,5004
6,2500,6664,24,4983,0,5007
7,2500,6664,28,4976,0,5004
8,2500,6664,28,4980,0,5008
9,2500,6664,28,4979,0,5007
10,2500,6664,27,4978,0,5005
11,2500,6664,26,4982,0,5008
12,2500,6664,21,4984,0,5005
13,2500,6664,27,4979,0,5006
14,2500,6664,26,4981,0,5007
15,2500,6664,23,4984,0,5007
16,2500,6664,10,4990,0,5000
17,2500,6664,25,4983,0,5008
18,2500,6664,17,4987,0,5004
19,2500,6664,27,4982,0,5009
20,2500,6664,18,4987,0,5005
21,2500,6664,15,4987,0,5002
22,2500,6664,26,4982,0,5008
23,2500,6664,25,4983,0,5008
24,2500,6664,21,4985,0,5006
25,2500,6664,14,4987,0,5001
26,2500,6664,20,4985,0,5005
27,2500,6664,25,4982,0,5007
28,2500,6664,33,4978,0,5011
29,2500,6664,31,4978,0,5009
30,2500,6664,27,4982,0,5009
31,2500,6664,26,4980,0,5006
32,2500,6664,23,4982,0,5005
33,2500,6664,12,4991,0,5003
34,2500,6664,14,4990,0,5004
35,2500,6664,18,4987,0,5005
36,2500,6664,18,4987,0,5005
37,2500,6664,25,4982,0,5007
38,2500,6664,25,4982,0,5007
39,2500,6664,26,4982,0,5008
40,2500,6664,21,4984,0,5005
41,2500,6664,19,4987,0,5006
42,2500,6664,16,4986,0,5002
43,2500,6664,23,4983,0,5006
44,2500,6664,24,4982,0,5006
45,2500,6664,23,4984,0,5007
46,2500,6664,26,4980,0,5006
47,2500,6664,20,4986,0,5006
48,2500,6664,21,4983,0,5004
49,2500,6664,25,4981,0,5006
50,2500,6664,12,4991,0,5003
51,2500,6664,29,4981,0,5010
52,2500,6664,20,4985,0,5005
53,2500,6664,26,4980,0,5006
54,2500,6664,29,4979,0,5008
55,2500,6664,23,4984,0,5007
56,2500,6664,15,4987,0,5002
57,2500,6664,21,4984,0,5005
58,2500,6664,21,4986,0,5007
59,2500,6664,25,4982,0,5007
60,2500,6664,27,4979,0,5006
61,2500,6664,19,4986,0,5005
62,2500,6664,23,4983,0,5006
63,2500,6664,21,4984,0,5005
64,2500,6664,19,4984,0,5003
65,2500,6664,23,4983,0,5006
66,2500,6664,27,4979,0,5006
67,2500,6664,24,4982,0,5006
68,2500,6664,28,4980,0,5008
69,2500,6664,26,4982,0,5008
70,2500,6664,14,4987,0,5001
71,2500,6664,25,4981,0,5006
72,2500,6664,27,4980,0,5007
73,2500,6664,16,4987,0,5003
74,2500,6664,15,4988,0,5003
75,2500,6664,26,4981,0,5007
76,2500,6664,24,4982,0,5006
77,2500,6664,31,4979,0,5010
78,2500,6664,28,4980,0,5008
79,2500,6664,33,4978,0,5011
80,2500,6664,17,4986,0,5003
81,2500,6664,18,4986,0,5004
82,2500,6664,21,4984,0,5005
83,2500,6664,26,4982,0,5008
84,2500,6664,12,4989,0,5001
85,2500,6664,14,4988,0,5002
86,2500,6664,25,4984,0,5009
87,2500,6664,13,4991,0,5004
88,2500,6664,26,4983,0,5009
89,2500,6664,14,4988,0,5002
90,2500,6664,22,4983,0,5005
91,2500,6664,23,4981,0,5004
92,2500,6664,22,4984,0,5006
93,2500,6664,16,4988,0,5004
94,2500,6664,19,4984,0,5003
95,2500,6664,24,4981,0,5005
96,2500,6664,26,4980,0,5006
97,2500,6664,17,4988,0,5005
98,2500,6664,22,4984,0,5006
99,2500,6664,23,4982,0,5005
100,2500,6664,25,4981,0,5006
101,2500,6664,15,4987,0,5002
102,2500,6664,12,4990,0,5002
103,2500,6664,22,4982,0,5004
104,2500,6664,23,4983,0,5006
105,2500,6664,24,4982,0,5006
106,2500,6664,23,4983,0,5006
107,2500,6664,23,4982,0,5005
108,2500,6664,18,4987,0,5005
109,2500,6664,22,4983,0,5005
110,2500,6664,18,4986,0,5004
111,2500,6664,26,4982,0,5008
112,2500,6664,21,4984,0,5005
113,2500,6664,24,4982,0,5006
114,2500,6664,17,4986,0,5003
115,2500,6664,26,4982,0,5008
116,2500,6664,25,4982,0,5007
117,2500,6664,22,4983,0,5005
118,2500,6664,16,4987,0,5003
119,2500,6664,30,4979,0,5009
120,2500,6664,25,4981,0,5006
121,2500,6664,30,4975,0,5005
122,2500,6664,24,4983,0,5007
123,2500,6664,16,4987,0,5003
124,2500,6664,13,4989,0,5002
125,2500,6664,12,4990,0,5002
126,2500,6664,23,4985,0,5008
127,2500,6664,17,4988,0,5005
128,2500,6664,26,4983,0,5009
129,2500,6664,14,4990,0,5004
130,2500,6664,20,4985,0,5005
131,2500,6664,18,4986,0,5004
132,2500,6664,27,4980,0,5007
133,2500,6664,21,4984,0,5005
134,2500,6664,27,4982,0,5009
135,2500,6664,24,4980,0,5004
136,2500,6664,23,4982,0,5005
137,2500,6664,19,4986,0,5005
138,2500,6664,16,4987,0,5003
139,2500,6664,25,4984,0,5009
140,2500,6664,27,4981,0,5008
141,2500,6664,19,4983,0,5002
142,2500,6664,25,4983,0,5008
143,2500,6664,25,4983,0,5008
144,2500,6664,30,4980,0,5010
145,2500,6664,21,4984,0,5005
146,2500,6664,17,4986,0,5003
147,2500,6664,28,4980,0,5008
148,2500,6664,14,4988,0,5002
149,2500,6664,33,4975,0,5008
150,2500,6664,25,4983,0,5008
151,2500,6664,28,4978,0,5006
152,2500,6664,20,4985,0,5005
153,2500,6664,27,4981,0,5008
154,2500,6664,25,4982,0,5007
155,2500,6664,12,4989,0,5001
156,2500,6664,26,4981,0,5007
157,2500,6664,21,4984,0,5005
158,2500,6664,20,4984,0,5004
159,2500,6664,29,4978,0,5007
160,2500,6664,19,4984,0,5003
161,2500,6664,23,4983,0,5006
162,2500,6664,15,4988,0,5003
163,2500,6664,23,4981,0,5004
164,2500,6664,20,4986,0,5006
