iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
0,5000,9999,5,9995,0,10000
1,5000,9999,5,9995,0,10000
2,5000,9999,5,9995,0,10000
3,5000,9999,5,9995,0,10000
4,5000,9999,5,9995,0,10000
5,5000,9999,5,9995,0,10000
6,5000,9999,5,9995,0,10000
7,5000,9999,5,9995,0,10000
8,5000,9999,5,9995,0,10000
9,5000,9999,5,9995,0,10000
10,5000,9999,5,9995,0,10000
11,5000,9999,5,9995,0,10000
12,5000,9999,5,9995,0,10000
13,5000,9999,5,9995,0,10000
14,5000,9999,5,9995,0,10000
15,5000,9999,5,9995,0,10000
16,5000,9999,5,9995,0,10000
17,5000,9999,5,9995,0,10000
18,5000,9999,5,9995,0,10000
19,5000,9999,5,9995,0,10000
20,5000,9999,5,9995,0,10000
21,5000,9999,5,9995,0,10000
22,5000,9999,5,9995,0,10000
23,5000,9999,5,9995,0,10000
24,5000,9999,5,9995,0,10000
25,5000,9999,5,9995,0,10000
26,5000,9999,5,9995,0,10000
27,5000,9999,5,9995,0,10000
28,5000,9999,5,9995,0,10000
29,5000,9999,5,9995,0,10000
30,5000,9999,5,9995,0,10000
31,5000,9999,5,9995,0,10000
32,5000,9999,5,9995,0,10000
33,5000,9999,5,9995,0,10000
34,5000,9999,5,9995,0,10000
35,5000,9999,5,9995,0,10000
36,5000,9999,5,9995,0,10000
37,5000,9999,5,9995,0,10000
38,5000,9999,5,9995,0,10000
39,5000,9999,5,9995,0,10000
40,5000,9999,5,9995,0,10000
41,5000,9999,5,9995,0,10000
42,5000,9999,5,9995,0,10000
43,5000,9999,5,9995,0,10000
44,5000,9999,5,9995,0,10000
45,5000,9999,5,9995,0,10000
46,5000,9999,5,9995,0,10000
47,5000,9999,5,9995,0,10000
48,5000,9999,5,9995,0,10000
49,5000,9999,5,9995,0,10000
50,5000,9999,5,9995,0,10000
51,5000,9999,5,9995,0,10000
52,5000,9999,5,9995,0,10000
53,5000,9999,5,9995,0,10000
54,5000,9999,5,9995,0,10000
55,5000,9999,5,9995,0,10000
56,5000,9999,5,9995,0,10000
57,5000,9999,5,9995,0,10000
58,5000,9999,5,9995,0,10000
59,5000,9999,5,9995,0,10000
60,5000,9999,5,9995,0,10000
61,5000,9999,5,9995,0,10000
62,5000,9999,5,9995,0,10000
63,5000,9999,5,9995,0,10000
64,5000,9999,5,9995,0,10000
65,5000,9999,5,9995,0,10000
66,5000,9999,5,9995,0,10000
67,5000,9999,5,9995,0,10000
68,5000,9999,5,9995,0,10000
69,5000,9999,5,9995,0,10000
70,5000,9999,5,9995,0,10000
71,5000,9999,5,9995,0,10000
72,5000,9999,5,9995,0,10000
73,5000,9999,5,9995,0,10000
74,5000,9999,5,9995,0,10000
75,5000,9999,5,9995,0,10000
76,5000,9999,5,9995,0,10000
77,5000,9999,5,9995,0,10000
78,5000,9999,5,9995,0,10000
79,5000,9999,5,9995,0,10000
80,5000,9999,5,9995,0,10000
81,5000,9999,5,9995,0,10000
82,5000,9999,5,9995,0,10000
83,5000,9999,5,9995,0,10000
84,5000,9999,5,9995,0,10000
85,5000,9999,5,9995,0,10000
86,5000,9999,5,9995,0,10000
87,5000,9999,5,9995,0,10000
88,5000,9999,5,9995,0,10000
89,5000,9999,5,9995,0,10000
90,5000,9999,5,9995,0,10000
91,5000,9999,5,9995,0,10000
92,5000,9999,5,9995,0,10000
93,5000,9999,5,9995,0,10000
94,5000,9999,5,9995,0,10000
95,5000,9999,5,9995,0,10000
96,5000,9999,5,9995,0,10000
97,5000,9999,5,9995,0,10000
98,5000,9999,5,9995,0,10000
99,5000,9999,5,9995,0,10000
100,5000,9999,5,9995,0,10000
101,5000,9999,5,9995,0,10000
102,5000,9999,5,9995,0,10000
103,5000,9999,5,9995,0,10000
104,5000,9999,5,9995,0,10000
105,5000,9999,5,9995,0,10000
106,5000,9999,5,9995,0,10000
107,5000,9999,5,9995,0,10000
108,5000,9999,5,9995,0,10000
109,5000,9999,5,9995,0,10000
110,5000,9999,5,9995,0,10000
111,5000,9999,5,9995,0,10000
112,5000,9999,5,9995,0,10000
113,5000,9999,5,9995,0,10000
114,5000,9999,5,9995,0,10000
115,5000,9999,5,9995,0,10000
116,5000,9999,5,9995,0,10000
117,5000,9999,5,9995,0,10000
118,5000,9999,5,9995,0,10000
119,5000,9999,5,9995,0,10000
120,5000,9999,5,9995,0,10000
121,5000,9999,5,9995,0,10000
122,5000,9999,5,9995,0,10000
123,5000,9999,5,9995,0,10000
124,5000,9999,5,9995,0,10000
125,5000,9999,5,9995,0,10000
126,5000,9999,5,9995,0,10000
127,5000,9999,5,9995,0,10000
128,5000,9999,5,9995,0,10000
129,5000,9999,5,9995,0,10000
130,5000,9999,5,9995,0,10000
131,5000,9999,5,9995,0,10000
132,5000,9999,5,9995,0,10000
133,5000,9999,5,9995,0,10000
134,5000,9999,5,9995,0,10000
135,5000,9999,5,9995,0,10000
136,5000,9999,5,9995,0,10000
137,5000,9999,5,9995,0,10000
138,5000,9999,5,9995,0,10000
139,5000,9999,5,9995,0,10000
140,5000,9999,5,9995,0,10000
141,5000,9999,5,9995,0,10000
142,5000,9999,5,9995,0,10000
143,5000,9999,5,9995,0,10000
144,5000,9999,5,9995,0,10000
145,5000,9999,5,9995,0,10000
146,5000,9999,5,9995,0,10000
147,5000,9999,5,9995,0,10000
148,5000,9999,5,9995,0,10000
149,5000,9999,5,9995,0,10000
150,5000,9999,5,9995,0,10000
151,5000,9999,5,9995,0,10000
152,5000,9999,5,9995,0,10000
153,5000,9999,5,9995,0,10000
154,5000,9999,5,9995,0,10000
155,5000,9999,5,9995,0,10000
156,5000,9999,5,9995,0,10000
157,5000,9999,5,9995,0,10000
158,5000,9999,5,9995,0,10000
159,5000,9999,5,9995,0,10000
160,5000,9999,5,9995,0,10000
161,5000,9999,5,9995,0,10000
162,5000,9999,5,9995,0,10000
163,5000,9999,5,9995,0,10000
