iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
0,5000,14997,9998,4999,0,14997
1,5000,14997,9998,4999,0,14997
2,5000,14997,9998,4999,0,14997
3,5000,14997,9998,4999,0,14997
4,5000,14997,9998,4999,0,14997
5,5000,14997,9998,4999,0,14997
6,5000,14997,9998,4999,0,14997
7,5000,14997,9998,4999,0,14997
8,5000,14997,9998,4999,0,14997
9,5000,14997,9998,4999,0,14997
10,5000,14997,9998,4999,0,14997
11,5000,14997,9998,4999,0,14997
12,5000,14997,9998,4999,0,14997
13,5000,14997,9998,4999,0,14997
14,5000,14997,9998,4999,0,14997
15,5000,14997,9998,4999,0,14997
16,5000,14997,9998,4999,0,14997
17,5000,14997,9998,4999,0,14997
18,5000,14997,9998,4999,0,14997
19,5000,14997,9998,4999,0,14997
20,5000,14997,9998,4999,0,14997
21,5000,14997,9998,4999,0,14997
22,5000,14997,9998,4999,0,14997
23,5000,14997,9998,4999,0,14997
24,5000,14997,9998,4999,0,14997
25,5000,14997,9998,4999,0,14997
26,5000,14997,9998,4999,0,14997
27,5000,14997,9998,4999,0,14997
28,5000,14997,9998,4999,0,14997
29,5000,14997,9998,4999,0,14997
30,5000,14997,9998,4999,0,14997
31,5000,14997,9998,4999,0,14997
32,5000,14997,9998,4999,0,14997
33,5000,14997,9998,4999,0,14997
34,5000,14997,9998,4999,0,14997
35,5000,14997,9998,4999,0,14997
36,5000,14997,9998,4999,0,14997
37,5000,14997,9998,4999,0,14997
38,5000,14997,9998,4999,0,14997
39,5000,14997,9998,4999,0,14997
40,5000,14997,9998,4999,0,14997
41,5000,14997,9998,4999,0,14997
42,5000,14997,9998,4999,0,14997
43,5000,14997,9998,4999,0,14997
44,5000,14997,9998,4999,0,14997
45,5000,14997,9998,4999,0,14997
46,5000,14997,9998,4999,0,14997
47,5000,14997,9998,4999,0,14997
48,5000,14997,9998,4999,0,14997
49,5000,14997,9998,4999,0,14997
50,5000,14997,9998,4999,0,14997
51,5000,14997,9998,4999,0,14997
52,5000,14997,9998,4999,0,14997
53,5000,14997,9998,4999,0,14997
54,5000,14997,9998,4999,0,14997
55,5000,14997,9998,4999,0,14997
56,5000,14997,9998,4999,0,14997
57,5000,14997,9998,4999,0,14997
58,5000,14997,9998,4999,0,14997
59,5000,14997,9998,4999,0,14997
60,5000,14997,9998,4999,0,14997
61,5000,14997,9998,4999,0,14997
62,5000,14997,9998,4999,0,14997
63,5000,14997,9998,4999,0,14997
64,5000,14997,9998,4999,0,14997
65,5000,14997,9998,4999,0,14997
66,5000,14997,9998,4999,0,14997
67,5000,14997,9998,4999,0,14997
68,5000,14997,9998,4999,0,14997
69,5000,14997,9998,4999,0,14997
70,5000,14997,9998,4999,0,14997
71,5000,14997,9998,4999,0,14997
72,5000,14997,9998,4999,0,14997
73,5000,14997,9998,4999,0,14997
74,5000,14997,9998,4999,0,14997
75,5000,14997,9998,4999,0,14997
76,5000,14997,9998,4999,0,14997
77,5000,14997,9998,4999,0,14997
78,5000,14997,9998,4999,0,14997
79,5000,14997,9998,4999,0,14997
80,5000,14997,9998,4999,0,14997
81,5000,14997,9998,4999,0,14997
82,5000,14997,9998,4999,0,14997
83,5000,14997,9998,4999,0,14997
84,5000,14997,9998,4999,0,14997
85,5000,14997,9998,4999,0,14997
86,5000,14997,9998,4999,0,14997
87,5000,14997,9998,4999,0,14997
88,5000,14997,9998,4999,0,14997
89,5000,14997,9998,4999,0,14997
90,5000,14997,9998,4999,0,14997
91,5000,14997,9998,4999,0,14997
92,5000,14997,9998,4999,0,14997
93,5000,14997,9998,4999,0,14997
94,5000,14997,9998,4999,0,14997
95,5000,14997,9998,4999,0,14997
96,5000,14997,9998,4999,0,14997
