caso,iteración,n,ops_asignacion,ops_comparacion,ops_aritmética,ops_totales,modelo_matemático
mejor_caso,0,5000,3,14995,0,14998,14998
mejor_caso,1,5000,3,14995,0,14998,14998
mejor_caso,2,5000,3,14995,0,14998,14998
mejor_caso,3,5000,3,14995,0,14998,14998
mejor_caso,4,5000,3,14995,0,14998,14998
mejor_caso,5,5000,3,14995,0,14998,14998
mejor_caso,6,5000,3,14995,0,14998,14998
mejor_caso,7,5000,3,14995,0,14998,14998
mejor_caso,8,5000,3,14995,0,14998,14998
mejor_caso,9,5000,3,14995,0,14998,14998
peor_caso,0,5000,14994,5004,0,19998,19998
peor_caso,1,5000,14994,5004,0,19998,19998
peor_caso,2,5000,14994,5004,0,19998,19998
peor_caso,3,5000,14994,5004,0,19998,19998
peor_caso,4,5000,14994,5004,0,19998,19998
peor_caso,5,5000,14994,5004,0,19998,19998
peor_caso,6,5000,14994,5004,0,19998,19998
peor_caso,7,5000,14994,5004,0,19998,19998
peor_caso,8,5000,14994,5004,0,19998,19998
peor_caso,9,5000,14994,5004,0,19998,19998
caso_medio,0,5000,37,14980,0,15017,17498
caso_medio,1,5000,41,14978,0,15019,17498
caso_medio,2,5000,46,14973,0,15019,17498
caso_medio,3,5000,35,14983,0,15018,17498
caso_medio,4,5000,38,14981,0,15019,17498
caso_medio,5,5000,33,14982,0,15015,17498
caso_medio,6,5000,41,14976,0,15017,17498
caso_medio,7,5000,41,14976,0,15017,17498
caso_medio,8,5000,42,14976,0,15018,17498
caso_medio,9,5000,69,14959,0,15028,17498
