caso,iteración,m,n,ops_totales,modelo_matemático
mejor_caso,0,0,0,1,1
mejor_caso,1,1,1,1,1
mejor_caso,2,2,2,1,1
mejor_caso,3,3,3,1,1
mejor_caso,4,4,4,1,1
mejor_caso,5,5,5,1,1
mejor_caso,6,6,6,1,1
mejor_caso,7,7,7,1,1
mejor_caso,8,8,8,1,1
mejor_caso,9,9,9,1,1
peor_caso,0,0,1,2,-2147483648
peor_caso,1,1,1,1,0
peor_caso,2,1,2,1,0
peor_caso,3,2,3,2,0
peor_caso,4,3,5,3,0
peor_caso,5,5,8,4,0
peor_caso,6,8,13,5,0
peor_caso,7,13,21,6,1
peor_caso,8,21,34,7,1
peor_caso,9,34,55,8,1
caso_medio,0,808,250,5,5
caso_medio,1,74,659,6,3
caso_medio,2,931,273,5,5
caso_medio,3,545,879,9,5
caso_medio,4,924,710,6,5
caso_medio,5,441,166,7,5
caso_medio,6,493,43,5,5
caso_medio,7,988,504,4,5
caso_medio,8,328,730,5,4
caso_medio,9,841,613,9,5
